"id UC";"Cons Var kWh";"Usina da UC: Nome da Usina";"Pct UC na Usina"
"0420934686";"2413";"UG EDP Light RJ";"1,609"
"0410203562";"4129";"UG EDP Light RJ";"2,753"
"0420540317";"11734";"UG EDP Light RJ";"7,823"
"0413160504";"8317";"UG EDP Light RJ";"5,545"
"0410816900";"10647";"UG EDP Light RJ";"7,098"
"411572281";"1830";"UG EDP Light RJ";"1,220"
"0411168485";"1310";"UG EDP Light RJ";"0,873"
"0420700099";"725";"UG EDP Light RJ";"0,483"
"0412787277";"10528";"UG EDP Light RJ";"7,019"
"410026872";"555";"UG EDP Light RJ";"0,370"
"0421273380";"1619";"UG EDP Light RJ";"1,079"
"0411436721";"1767";"UG EDP Light RJ";"1,178"
"0413376521";"4035";"UG EDP Light RJ";"2,690"
"0420437444";"1055";"UG EDP Light RJ";"0,703"
"0414792562";"4358";"UG EDP Light RJ";"2,905"
"0411416123";"7319";"UG EDP Light RJ";"4,879"
"0412450413";"4982";"UG EDP Light RJ";"3,321"
"0410631756";"2993";"UG EDP Light RJ";"1,995"
"0410438737";"6042";"UG EDP Light RJ";"4,028"
"0411417078";"12141";"UG EDP Light RJ";"8,094"
"0410714845";"393";"UG EDP Light RJ";"0,262"
"0410706500";"2395";"UG EDP Light RJ";"1,597"
"0413057787";"6001";"UG EDP Light RJ";"4,001"
"0410883267";"1660";"UG EDP Light RJ";"1,107"
"0413003001";"2050";"UG EDP Light RJ";"1,367"
"0410113014";"739";"UG EDP Light RJ";"0,493"
"0411726144";"1891";"UG EDP Light RJ";"1,261"
"0411394134";"1171";"UG EDP Light RJ";"0,781"
"0412599505";"1644";"UG EDP Light RJ";"1,096"
"0410919149";"10823";"UG EDP Light RJ";"7,215"
"0413290813";"6605";"UG EDP Light RJ";"4,403"
"0414076884";"1957";"UG EDP Light RJ";"1,305"
"0411786369";"8282";"UG EDP Light RJ";"5,521"
"0411786368";"3620";"UG EDP Light RJ";"2,413"
"0411284149";"3636";"UG EDP Light RJ";"2,424"
"0411141368";"2871";"UG EDP Light RJ";"1,914"
"400383503";"16523";"UG EDP Light RJ";"11,015"
"3000084465";"1124";"UG EDP Cemig MG";"0,250"
"0410556796";"4048";"UG EDP Light RJ";"0,512"
"0430239411";"3311";"UG EDP Light RJ";"0,420"
"430244078";"1301";"UG EDP Light RJ";"0,867"
"0411217857";"6467";"UG EDP Light RJ";"4,311"
"410354246";"5830";"UG EDP Light RJ";"3,887"
"0410969910";"2437";"UG EDP Light RJ";"1,625"
"3004326868";"554";"UG EDP Cemig MG";"0,123"
"3002192103";"501";"UG EDP Cemig MG";"0,111"
"3001049944";"1235";"UG EDP Cemig MG";"0,274"
"0413381589";"6115";"UG EDP Light RJ";"4,077"
"3004250340";"2578";"UG EDP Cemig MG";"0,573"
"3013928169";"456";"UG EDP Cemig MG";"0,101"
"3013933536";"258";"UG EDP Cemig MG";"0,057"
"410140662";"5267";"UG EDP Light RJ";"3,511"
"0413522996";"1355";"UG EDP Light RJ";"0,903"
"3010604119";"514";"UG EDP Cemig MG";"0,114"
"3003528544";"3426";"UG EDP Cemig MG";"0,761"
